brand,model_code_base,lineup,year,panel_tech,tier,sku_full,size_inch,region,weight_kg,power_w,local_dimming_zones,audio_output_w,price_msrp,price_street,currency,availability,estimated_fields
삼성,DU8000,Crystal UHD,2024,LED-LCD,mid,KU65DU8000FXKR,65,KR,23.00,170,,20,,,KRW,판매중,"color, power_w, stand_type, weight_kg"
삼성,QN70H,Neo QLED 4K,2026,Neo-QLED,high,QN70H-43IN-KR,43,KR,15.00,110,512,40,,,KRW,출시예정,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN70H,Neo QLED 4K,2026,Neo-QLED,high,QN70H-50IN-KR,50,KR,17.50,130,512,40,,,KRW,출시예정,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN70H,Neo QLED 4K,2026,Neo-QLED,high,QN70H-55IN-KR,55,KR,19.00,140,512,40,,,KRW,출시예정,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN70H,Neo QLED 4K,2026,Neo-QLED,high,KQ65QN70HXKR,65,KR,23.00,170,512,40,,,KRW,출시예정,"color, local_dimming_zones, power_w, stand_type, weight_kg"
삼성,QN70H,Neo QLED 4K,2026,Neo-QLED,high,QN70H-75IN-KR,75,KR,26.00,200,512,40,,,KRW,출시예정,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN70H,Neo QLED 4K,2026,Neo-QLED,high,QN70H-85IN-KR,85,KR,29.50,220,512,40,,,KRW,출시예정,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN800D,Neo QLED 8K,2024,Neo-QLED,high,KQ65QNA800DXKR,65,KR,23.00,170,512,90,,,KRW,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
삼성,QN80H,Neo QLED 4K,2026,Neo-QLED,flagship,QN80H-55IN-KR,55,KR,19.00,140,1344,70,,,KRW,출시예정,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN80H,Neo QLED 4K,2026,Neo-QLED,flagship,KQ65QN80HXKR,65,KR,23.00,170,1344,70,,,KRW,출시예정,"color, local_dimming_zones, power_w, stand_type, weight_kg"
삼성,QN80H,Neo QLED 4K,2026,Neo-QLED,flagship,QN80H-75IN-KR,75,KR,26.00,200,1344,70,,,KRW,출시예정,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN80H,Neo QLED 4K,2026,Neo-QLED,flagship,QN80H-85IN-KR,85,KR,29.50,220,1344,70,,,KRW,출시예정,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
