sku_full,region,channel,price,captured_at
KQ65QNA90DXKR,KR,danawa,2490000,2025-05-01
KQ65QNA90DXKR,KR,danawa,2290000,2026-07-01
KQ65SD95DXKR,KR,danawa,3390000,2025-05-01
KQ65SD95DXKR,KR,danawa,2990000,2026-07-01
KQ65QNA900DXKR,KR,danawa,4990000,2026-07-01
OLED65G4KNA,KR,danawa,3290000,2025-05-01
OLED65G4KNA,KR,danawa,2890000,2026-07-01
OLED65C4KNA,KR,danawa,1990000,2026-07-01
XR-65A95L,KR,danawa,3490000,2026-07-01
65C845,KR,danawa,1290000,2026-07-01
65U8N,KR,danawa,1490000,2026-07-01
KQ65QNF90FXKR,KR,danawa,2890000,2026-07-01
KQ65SF95FXKR,KR,danawa,3690000,2026-07-01
OLED65G5KNA,KR,danawa,3590000,2026-07-01
K-65XR80II,KR,danawa,3790000,2026-07-01
65QM8K,KR,danawa,1890000,2026-07-01
65U8QG,KR,danawa,1790000,2026-07-01
