sku_full,region,channel,price,captured_at,currency
OLED65G5WUA,US,bestbuy,3199,2025-04-01,USD
OLED65G5WUA,US,bestbuy,2299,2026-07-01,USD
QN65QN90FAFXZA,US,bestbuy,1799,2025-04-01,USD
QN65QN90FAFXZA,US,bestbuy,1399,2026-07-01,USD
QN65S95FAFXZA,US,bestbuy,2599,2025-04-01,USD
QN65S95FAFXZA,US,bestbuy,2299,2026-07-01,USD
K-65XR80M2,US,bestbuy,2398,2026-07-01,USD
65QM8K,US,bestbuy,1499,2025-04-01,USD
65QM8K,US,bestbuy,1299,2026-07-01,USD
65U8QG,US,amazon,2199,2025-04-01,USD
65U8QG,US,amazon,1399,2026-07-01,USD
